state,lc_name,university,oGV,oGE,oGT,valid_from
Aguascalientes,Aguascalientes,Instituto Tecnológico de Monterrey Campus Aguascalientes,Aguascalientes,León,León,1/2/2019
Aguascalientes,Aguascalientes,Otra Universidad de Aguascalientes,Aguascalientes,León,León,1/2/2019
Aguascalientes,Aguascalientes,Universidad Cuauhtémoc Aguascalientes - UCA,Aguascalientes,León,León,1/2/2019
Aguascalientes,Aguascalientes,Universidad Autónoma de Aguascalientes,Aguascalientes,León,León,1/2/2019
Aguascalientes,Aguascalientes,Universidad del Valle de México - UVM (Campus Aguascalientes),Aguascalientes,León,León,1/2/2019
Aguascalientes,Aguascalientes,Universidad Panamericana - UP (Campus Aguascalientes),Aguascalientes,León,León,1/2/2019
Baja California,Tijuana,CETYS Universidad,Tijuana,Tijuana,UNAM,1/2/2019
Baja California,Tijuana,Otra Universidad de Baja California,Tijuana,Tijuana,UNAM,1/2/2019
Baja California,Tijuana,Tecnológico de Tijuana,Tijuana,Tijuana,UNAM,1/2/2019
Baja California,Tijuana,Universidad Autónoma de Baja California,Tijuana,Tijuana,UNAM,1/2/2019
Baja California,Tijuana,Universidad Iberoamericana Tijuana,Tijuana,Tijuana,UNAM,1/2/2019
Baja California,Tijuana,Universidad Xochicalco,Tijuana,Tijuana,UNAM,1/2/2019
Baja California Sur,Tijuana,Todas las Universidades de Baja California Sur,Tijuana,Tijuana,UNAM,1/2/2019
Campeche,Veracruz,Todas las Universidades de Campeche,Veracruz,Veracruz,Puebla,1/2/2019
CDMX,IPN,Instituto Politécnico Nacional - ESCA,IPN,IPN,UNAM,1/2/2019
CDMX,IPN,Instituto Politécnico Nacional - ESCOM,IPN,IPN,UNAM,1/2/2019
CDMX,IPN,Instituto Politécnico Nacional - UPIICSA,IPN,IPN,UNAM,1/2/2019
CDMX,IPN,Otra universidad de CDMX Norte,IPN,IPN,UNAM,1/2/2019
CDMX,IPN,Universidad Autónoma Metropolitana (Campus Azcapotzalco),IPN,IPN,UNAM,1/2/2019
CDMX,IPN,Universidad del Claustro de Sor Juana,IPN,IPN,UNAM,1/2/2019
CDMX,IPN,Universidad del Valle de México - UVM (Campus San Rafael),IPN,IPN,UNAM,1/2/2019
CDMX,IPN,Universidad Justo Sierra (Campus Cien metros),IPN,IPN,UNAM,1/2/2019
CDMX,IPN,Universidad Simón Bolivar,IPN,IPN,UNAM,1/2/2019
CDMX,IPN,Universidad Tecnológica de México,IPN,IPN,UNAM,1/2/2019
CDMX,ITAM,Centro de Estudios Superiores de San Ángel - CESSA,ITAM,ITAM,UNAM,1/2/2019
CDMX,ITAM,Colegio de México A.C.,ITAM,ITAM,UNAM,1/2/2019
CDMX,ITAM,ITAM - Instituto Tecnológico Autónomo de México,ITAM,ITAM,UNAM,1/2/2019
CDMX,ITAM,Universidad Anáhuac (Campus Sur),ITAM,ITAM,UNAM,1/2/2019
CDMX,ITAM,Universidad del Valle de México - UVM (Campus San Ángel),ITAM,ITAM,UNAM,1/2/2019
CDMX,ITAM,Universidad Iberoamericana,ITAM,ITAM,UNAM,1/2/2019
CDMX,La Salle,Escuela Bancaria y Comercial - EBC (Campus Ciudad de México),La Salle,La Salle,UNAM,1/2/2019
CDMX,La Salle,Otra universidad de CDMX Centro,La Salle,La Salle,UNAM,1/2/2019
CDMX,La Salle,Universidad de las Américas (UDLA),La Salle,La Salle,UNAM,1/2/2019
CDMX,La Salle,Universidad de Londres,La Salle,La Salle,UNAM,1/2/2019
CDMX,La Salle,Universidad de Negocios - ISEC,La Salle,La Salle,UNAM,1/2/2019
CDMX,La Salle,Universidad La Salle Condesa,La Salle,La Salle,UNAM,1/2/2019
CDMX,La Salle,Universidad La Salle Nezahualcóyotl,La Salle,La Salle,UNAM,1/2/2019
CDMX,Tec CEM,Escuela Bancaria y Comercial - EBC (Campus Reforma),Tec CEM,Tec CEM,UNAM,1/2/2019
CDMX,Tec Santa Fe,CENTRO,Tec Santa Fe,Tec Santa Fe,UNAM,1/2/2019
CDMX,Tec Santa Fe,Centro de Investigación y Docencias Económicas,Tec Santa Fe,Tec Santa Fe,UNAM,1/2/2019
CDMX,Tec Santa Fe,Instituto Tecnológico y de Estudios Superiores de Monterrey (Campus CCM),Tec Santa Fe,Tec Santa Fe,UNAM,1/2/2019
CDMX,Tec Santa Fe,Instituto Tecnológico y de Estudios Superiores de Monterrey (Campus Santa Fe),Tec Santa Fe,Tec Santa Fe,UNAM,1/2/2019
CDMX,Tec Santa Fe,Otra universidad de CDMX Poniente,Tec Santa Fe,Tec Santa Fe,UNAM,1/2/2019
CDMX,Tec Santa Fe,Universidad Anáhuac (Campus Norte),Tec Santa Fe,Tec Santa Fe,UNAM,1/2/2019
CDMX,Tec Santa Fe,Universidad Autónoma Metropolitana - UAM (Campus Cuajimalpa),Tec Santa Fe,Tec Santa Fe,UNAM,1/2/2019
CDMX,Tec Santa Fe,Universidad Autónoma Metropolitana - UAM (Campus Santa Fe),Tec Santa Fe,Tec Santa Fe,UNAM,1/2/2019
CDMX,UNAM,Claustro de Sor Juana,UNAM,UNAM,UNAM,1/2/2019
CDMX,UNAM,Otra universidad de CDMX Sur,UNAM,UNAM,UNAM,1/2/2019
CDMX,UNAM,UNAM - Facultad de Artes y Diseño,UNAM,UNAM,UNAM,1/2/2019
CDMX,UNAM,UNAM - Facultades de Estudios Superiores,UNAM,UNAM,UNAM,1/2/2019
CDMX,UNAM,Universidad Autónoma Metropolitana - UAM (Xochimilco),UNAM,UNAM,UNAM,1/2/2019
CDMX,UNAM,Universidad de Insurgentes,UNAM,UNAM,UNAM,1/2/2019
CDMX,UNAM,Universidad de la Comunicación,UNAM,UNAM,UNAM,1/2/2019
CDMX,UNAM,Universidad Nacional Autónoma de México - UNAM,UNAM,UNAM,UNAM,1/2/2019
CDMX,UNAM,Universidad Tecnológica Americana - UTECA,UNAM,UNAM,UNAM,1/2/2019
CDMX,UP,Centro de Estudios Universitarios en Ciencias de la Comunicación - CECC,UP,UP,UNAM,1/2/2019
CDMX,UP,Universidad del Desarrollo Empresarial y Pedagógico,UP,UP,UNAM,1/2/2019
CDMX,UP,Universidad del Valle de México - UVM (Campus Coyoacán),UP,UP,UNAM,1/2/2019
CDMX,UP,Universidad del Valle de México - UVM (Campus Tlalpan),UP,UP,UNAM,1/2/2019
CDMX,UP,Universidad Intercontinental,UP,UP,UNAM,1/2/2019
CDMX,UP,Universidad Panamericana (UP),UP,UP,UNAM,1/2/2019
Chiapas,Tabasco,Otra Universidad de Chiapas,Tabasco,Tabasco,Puebla,1/2/2019
Chiapas,Tabasco,Universidad Autónoma de Chiapas,Tabasco,Tabasco,Puebla,1/2/2019
Chihuahua,Chihuahua,Instituto Tecnológico de Chihuahua,Chihuahua,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Ciudad Juárez,Instituto Tecnológico de Ciudad Juárez,Ciudad Juárez,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Chihuahua,Instituto Tecnológico de Estudios Superiores de Monterrey Campus Chihuahua (ITESM Chihuahua),Chihuahua,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Ciudad Juárez,Instituto Tecnológico y de Estudios Superiores de Monterrey (Campus Ciudad Juárez),Ciudad Juárez,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Chihuahua,Otra Universidad de Chihuahua,Ciudad Juárez,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Chihuahua,Universidad Autónoma de Chihuahua,Chihuahua,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Ciudad Juárez,Universidad Autónoma de Ciudad Juárez,Ciudad Juárez,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Chihuahua,Universidad Tecmilenio (Campus Chihuahua),Chihuahua,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Ciudad Juárez,Universidad Tecmilenio (Campus Ciudad Juárez),Ciudad Juárez,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Ciudad Juárez,Universidad Tecnológica de Ciudad Juárez,Ciudad Juárez,Ciudad Juárez,UAEMEX,1/2/2019
Chihuahua,Ciudad Juárez,University of Texas El Paso (UTEP),Ciudad Juárez,Ciudad Juárez,UAEMEX,1/2/2019
Coahuila,La Laguna,Instituto Tecnológico de La Laguna,La Laguna,La Laguna,UAEMEX,1/2/2019
Coahuila,La Laguna,Instituto Tecnológico y de Estudios Superiores de Monterrey (Campus Laguna),La Laguna,La Laguna,UAEMEX,1/2/2019
Coahuila,La Laguna,Otra Universidad de Coahuila,La Laguna,La Laguna,UAEMEX,1/2/2019
Coahuila,La Laguna,Universidad Autónoma de Coahuila,La Laguna,La Laguna,UAEMEX,1/2/2019
Coahuila,La Laguna,Universidad Autónoma de La Laguna,La Laguna,La Laguna,UAEMEX,1/2/2019
Coahuila,La Laguna,Universidad del Valle de México - UVM (Campus Laguna),La Laguna,La Laguna,UAEMEX,1/2/2019
Coahuila,La Laguna,Universidad Iberoamericana (Campus Torreón),La Laguna,La Laguna,UAEMEX,1/2/2019
Coahuila,La Laguna,Universidad Juárez del Estado de Durango,La Laguna,La Laguna,UAEMEX,1/2/2019
Coahuila,La Laguna,Universidad Tecmilenio (Campus Laguna),La Laguna,La Laguna,UAEMEX,1/2/2019
Colima,Querétaro,Todas las Universidades de Colima,Querétaro,Querétaro,Querétaro,1/2/2019
Durango,Zacatecas,Otra Universidad de Durango,Zacatecas,Zacatecas,UAEMEX,1/2/2019
Durango,La Laguna,Universidad La Salle Laguna,La Laguna,La Laguna,UAEMEX,1/2/2019
Durango,La Laguna,Universidad Tecnológica de Torreón,La Laguna,La Laguna,UAEMEX,1/2/2019
